Copy,DupTest,Mkdir,sFILE_NAME,sBASENAME_NO_EXT,sBASENAME,sEXT,sLOWERCASE_EXT,sTARGET_PATH,sEXISTING_FILE
True,False,True,/home/toazd/github/personal/scripts/sh/misc/cd-physical.sh,cd-physical,cd-physical.sh,sh,sh,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/sandbox/3.sh,3,3.sh,sh,sh,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/sandbox/2.sh,2,2.sh,sh,sh,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/sandbox/1.sh,1,1.sh,sh,sh,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/sandbox/4.sh,4,4.sh,sh,sh,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/sandbox/fd_function_test.sh,fd_function_test,fd_function_test.sh,sh,sh,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/commit-msg.sample,commit-msg,commit-msg.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/pre-rebase.sample,pre-rebase,pre-rebase.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/prepare-commit-msg.sample,prepare-commit-msg,prepare-commit-msg.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/pre-commit.sample,pre-commit,pre-commit.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/pre-merge-commit.sample,pre-merge-commit,pre-merge-commit.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/applypatch-msg.sample,applypatch-msg,applypatch-msg.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/post-update.sample,post-update,post-update.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/pre-push.sample,pre-push,pre-push.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/pre-receive.sample,pre-receive,pre-receive.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/pre-applypatch.sample,pre-applypatch,pre-applypatch.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/update.sample,update,update.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/misc/.git/hooks/fsmonitor-watchman.sample,fsmonitor-watchman,fsmonitor-watchman.sample,sample,sample,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/ge-install-manager/ge-install-manager.sh,ge-install-manager,ge-install-manager.sh,sh,sh,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/ge-install-manager/releases.example,releases,releases.example,example,example,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/ge-install-manager/README.sh,README,README.sh,sh,sh,/tmp/copyfilestest,
True,False,True,/home/toazd/github/personal/scripts/sh/ge-install-manager/latest.example,latest,latest.example,example,example,/tmp/copyfilestest,/tmp/copyfilestest/sample/fsmonitor-watchman.sample
