Version,File,Width,Height,Compression,Transparency,Colorspace,Bytes
Detailed,Big-Bones_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,Big-Bones_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,bird_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,bird_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,Boneyard Wolf_DIF_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,Boneyard Wolf_DIF_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,bull_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Original,bull_diffuse.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,cage_beast_diffuse.dds,2048,2048,None,Blend,srgba,16777344
Original,cage_beast_diffuse.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Crab-Monster_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Crab-Monster_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Crimper_DIF_HI.dds,4096,4096,None,Blend,srgba,67108992
Original,Crimper_DIF_HI.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,Dog1_Fur2_D_LO.dds,256,256,None,Blend,srgba,262272
Original,Dog1_Fur2_D_LO.dds,256,256,DXT5,Blend,srgba,87536

Detailed,Dog1_Fur_D_LO.dds,256,256,None,Blend,srgba,262272
Original,Dog1_Fur_D_LO.dds,256,256,DXT5,Blend,srgba,87536

Detailed,Dog_D.dds,1024,1024,None,Blend,srgba,4194432
Original,Dog_D.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Dog_N.dds,1024,1024,None,Blend,srgba,4194432
Original,Dog_N.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,elephant_turtle_diffuse_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,elephant_turtle_diffuse_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,flesh_insect_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Original,flesh_insect_diffuse.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,flesh_insect_diffuse_red_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,flesh_insect_diffuse_red_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,frog_gorilla_blue_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,frog_gorilla_blue_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,frog_gorilla_diffuse.dds,2048,2048,None,Blend,srgba,16777344
Original,frog_gorilla_diffuse.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,goat_diffuse_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,goat_diffuse_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Land_Bat_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Land_Bat_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,leviaphan_diffuse_HI.dds,2048,1024,None,Blend,srgba,8388736
Original,leviaphan_diffuse_HI.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,mammal_beak_diffuse_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,mammal_beak_diffuse_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,mammal_beak_normal_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,mammal_beak_normal_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,pack_beast_diffuse_HI.dds,4096,2048,None,Blend,srgba,33554560
Original,pack_beast_diffuse_HI.dds,4096,2048,DXT5,Blend,srgba,11184976

Detailed,pack_beast_luggage_bags_normal.dds,1024,512,None,Blend,srgba,2097280
Original,pack_beast_luggage_bags_normal.dds,1024,512,DXT1,Undefined,srgb,349672

Detailed,pack_beast_normal_HI.dds,4096,2048,None,Blend,srgba,33554560
Original,pack_beast_normal_HI.dds,4096,2048,DXT5,Blend,srgba,11184976

Detailed,robot_worker_diffuse.dds,2048,2048,None,Blend,srgba,16777344
Original,robot_worker_diffuse.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,robot_worker_diffusewhite.dds,2048,2048,None,Blend,srgba,16777344
Original,robot_worker_diffusewhite.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,skimmer_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,skimmer_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,swamp_duck_diffuse.dds,1024,512,None,Blend,srgba,2097280
Original,swamp_duck_diffuse.dds,1024,512,DXT5,Blend,srgba,699216

Detailed,ATLAS1.dds,4096,4096,None,Blend,srgba,67108992
Original,ATLAS1.dds,4096,4096,DXT5,Blend,srgba,16777344

