Version,File,Width,Height,Compression,Transparency,Colorspace,Bytes
Detailed,Brown_CanyonWrecks_NML.dds,2048,2048,None,Blend,srgba,16777344
Original,Brown_CanyonWrecks_NML.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,ScaffEquip_NML.dds,2048,2048,None,Blend,srgba,16777344
Original,ScaffEquip_NML.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,AshDomeComplex-METALNESS.dds,1024,1024,None,Blend,srgba,4194432
Original,AshDomeComplex-METALNESS.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,ScaffEquip_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,ScaffEquip_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,AshDomeComplex_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,AshDomeComplex_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,_New-House_components_DIF.dds,2048,2048,None,Blend,srgba,16777344

Detailed,AshDome_Spokes_NML.dds,2048,2048,None,Blend,srgba,16777344
Original,AshDome_Spokes_NML.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,_New-House_components_NML.dds,2048,2048,None,Blend,srgba,16777344
Compressed,_New-House_components_NML.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,Pontoon_Bridge_NML.dds,2048,2048,None,Blend,srgba,16777344
Original,Pontoon_Bridge_NML.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,Crumbler_Building_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,Crumbler_Building_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,OldTimber_NML.dds,2048,2048,None,Blend,srgba,16777344
Original,OldTimber_NML.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,Fractal-Distiller_SKIN_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,Fractal-Distiller_SKIN_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,DirtPLates-RUSTY_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,DirtPLates-RUSTY_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Crumbler_Building_NML.dds,2048,2048,None,Blend,srgba,16777344
Original,Crumbler_Building_NML.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,DirtPLates-RUSTY_NML.dds,2048,2048,None,Blend,srgba,16777344
Original,DirtPLates-RUSTY_NML.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,OldTimber_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,OldTimber_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,AshDome_Spokes_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,AshDome_Spokes_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,AshDomeComplex-INT_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,AshDomeComplex-INT_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,AshDomeComplex_NML.dds,2048,2048,None,Blend,srgba,16777344
Original,AshDomeComplex_NML.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,Brown_CanyonWrecks_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,Brown_CanyonWrecks_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Fractal-Distiller_SKIN_NML.dds,2048,2048,None,Blend,srgba,16777344
Original,Fractal-Distiller_SKIN_NML.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,Pontoon_Bridge_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,Pontoon_Bridge_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,AshDomeComplex-INT_NML.dds,2048,2048,None,Blend,srgba,16777344
Original,AshDomeComplex-INT_NML.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,elephant_turtle_diffuse_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,elephant_turtle_diffuse_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,flesh_insect_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Original,flesh_insect_diffuse.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Dog1_Fur2_D_LO.dds,256,256,None,Blend,srgba,262272
Original,Dog1_Fur2_D_LO.dds,256,256,DXT5,Blend,srgba,87536

Detailed,bird_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,bird_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,mammal_beak_diffuse_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,mammal_beak_diffuse_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Land_Bat_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Land_Bat_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Boneyard Wolf_DIF_HI.dds,1024,1024,None,Blend,srgba,4194432
